Country Name,Country Code,GDP,TOP.COMP,COMP.CAPIT,NET.USERS,SERV.EXP,GOODS.EXP,CEOP,HMHDII,HDII,IC,II,ITIS,LMLDII,LDII,TELEC,DEVELOP
Austria,AUT,50070.40335,3,2.75E+09,87.75220479,11.09705438,3.128559148,0.258,1.836,0.841,0.17,0.427,0.145,0.365,0.036,0.011,
Belgium,BEL,46641.71166,3,5.61E+09,90.27542801,11.36263397,2.170650488,0.117,1.386,1.025,0.319,0.436,0.247,0.944,0.115,0.056,
Bulgaria,BGR,9878.768872,0,0.00E+00,67.94698094,16.15198913,3.21251171,0.025,0.31,0.275,0.031,0.041,0.098,0.115,0.01,0.012,
Croatia,HRV,15086.21174,0,0.00E+00,79.07978368,5.738893496,2.326808415,0.013,0.296,0.166,0.025,0.036,0.105,0.137,0.008,0.019,
Cyprus,CYP,29417.92188,1,423302848,86.06362996,18.73372472,2.297661121,0.037,0.358,0.289,0.044,0.057,0.095,0.113,0.017,0.011,
Czechia,CZE,23664.84786,0,0.00E+00,80.86694441,15.10684473,16.1704712,0.061,1.044,0.761,0.232,0.294,0.211,0.144,0.031,0.007,
Denmark,DNK,59592.98069,2,4.89E+09,98.04643475,7.257457961,3.656127224,0.161,1.302,0.813,0.169,0.33,0.146,0.539,0.043,0.005,
Estonia,EST,23424.48471,0,0.00E+00,90.2289282,12.94654025,7.592586836,0.103,0.335,0.188,0.362,0.465,0.312,0.101,0.087,0.037,
Finland,FIN,48629.85823,4,2.50E+10,89.60738511,33.7962943,2.577372868,0.452,1.511,0.557,0.289,0.742,0.224,0.327,0.119,0.012,
France,FRA,40494.89829,12,1.80E+11,83.33974409,6.645369689,3.78505463,0.175,1.221,0.756,0.232,0.385,0.118,0.251,0.082,0.048,
Germany,DEU,46793.68676,29,2.96E+11,88.13451691,9.123056591,4.900755172,0.251,1.769,1.165,0.124,0.375,0.117,0.414,0.028,0.005,
Greece,GRC,19144.28439,0,0.00E+00,75.67120669,2.72797945,3.112509393,0.01,0.349,0.248,0.103,0.114,0.062,0.24,0.101,0.029,
Hungary,HUN,16786.21364,0,0.00E+00,80.37169361,9.376009724,12.81948127,0.024,0.801,0.607,0.129,0.153,0.108,0.101,0.07,0.003,
Ireland,IRL,80927.07467,4,2.00E+10,87.00005524,53.05043766,8.799344745,0.116,0.766,0.499,0.29,0.406,0.266,0.147,0.025,0.004,
Italy,ITA,33673.75096,3,5.33E+09,67.85071029,7.331133237,1.966277029,0.061,0.69,0.399,0.105,0.166,0.073,0.234,0.044,0.03,
Latvia,LVA,17945.22222,0,0.00E+00,86.13545644,15.16803431,8.942568781,0.01,0.065,0.027,0.033,0.044,0.17,0.014,0.013,0.021,
Lithuania,LTU,19598.40087,0,0.00E+00,81.58186838,5.719163875,3.443764271,0.038,0.355,0.244,0.061,0.099,0.058,0.075,0.027,0.014,
Luxembourg,LUX,112621.8213,3,1.19E+10,97.12063569,3.90859882,2.209337412,0.052,0.412,0.196,0.127,0.075,0.093,0.278,0.036,0.017,
Malta,MLT,31506.55684,0,0.00E+00,85.77859638,0.583646485,13.58924722,0.102,0.355,0.362,0.094,0.102,0.152,0.417,0.082,0.009,
Netherlands,NLD,52476.27325,9,4.49E+11,93.2885906,9.242466982,10.26886865,0.095,0.874,0.394,0.15,0.241,0.139,0.306,0.123,0.005,
Portugal,PRT,23330.81729,0,0.00E+00,75.34637794,5.932177447,3.400100213,0.017,0.505,0.367,0.143,0.16,0.112,0.228,0.073,0.022,
Poland,POL,15700.01358,9,1.51E+10,80.43590688,12.21835735,6.549658597,0.036,0.49,0.32,0.082,0.521,0.274,0.163,0.041,0.003,
Romania,ROU,12957.98,0,0.00E+00,73.65747575,20.66361065,3.202195347,0.018,0.285,0.302,0.045,0.052,0.102,0.105,0.008,0.007,
Slovak,SVK,19381.59211,0,0.00E+00,82.8536605,14.11980799,13.28174947,0.007,0.362,0.256,0.075,0.082,0.045,0.03,0.003,0.006,
Spain,ESP,29581.51855,1,3.08E+10,90.71866533,9.577406806,1.627714894,0.017,0.505,0.405,0.081,0.098,0.068,0.197,0.059,0.01,
Slovenia,SVN,26016.07868,0,0.00E+00,83.1083578,7.280315054,1.786360146,0.071,0.859,0.458,0.099,0.171,0.092,0.098,0.043,0.006,
Sweden,SWE,51939.42974,6,5.89E+10,94.49344341,20.56037729,6.151415241,0.049,1.563,1.026,0.603,0.652,0.306,0.036,0.112,0.004,
